day_of_year,mean_air_temperature,std_air_temperature,mean_daily_max_air_temperature,std_daily_max_air_temperature
225,24.099169823232323,2.8625555071959483,28.3825,4.160253254653754
226,23.549161871114997,2.656362911186474,27.41,3.211692922520993
227,23.357766790501167,2.3023596997128264,27.2425,3.5745958812550707
228,23.210953950563326,2.3454057123741805,27.395,3.102883451611696
229,22.54256021756022,1.9620780480238584,26.41125,2.7149450796865655
230,22.47735704399767,1.8970549920908453,26.07875,2.625024829814541
231,21.615433360042733,2.598026114877688,24.8925,3.9525859528017486
232,21.168263524669776,3.0169122838855875,24.60375,4.161366319234243
233,21.202459510975135,3.2462135205995533,24.49625,3.7766800897084214
234,22.184053273115772,2.935171329892847,25.9225,3.4900214899051845
235,21.801516365578866,3.206271357494203,25.685,4.221482474879444
236,21.525023917055165,2.761217727953067,25.62,3.839319136067154
237,21.647199822746696,2.543317501204086,25.1825,2.6927985973173496
238,20.891707580613833,1.5299704175982238,24.92625,0.9755721764321544
239,21.006970850330227,2.3997261419604765,24.00875,2.8402134602878006
240,19.56517221493784,2.4133346519705765,22.65,2.734363336709818
241,19.710529392482517,2.7058183487431413,23.175,3.081052695798258
242,19.755436638014764,2.9305953600513845,23.0125,3.5162388591058087
243,20.09425535402098,3.004160797895074,23.1525,3.308723318743954
244,19.75737992909868,2.489676880127611,23.19875,2.480353877401944
245,19.723922579156955,2.0082421615502124,23.07875,2.560147526441173
246,19.813080261752138,1.752012253705411,23.2575,2.4804190314196055
247,19.988302556818184,1.3744105708447059,23.17125,1.4252462193299402
248,19.99898871961372,2.2264370954565798,23.032857142857143,2.9440432191444588
249,19.62093011155511,2.7575693559949275,22.41857142857143,3.5897141416897838
250,19.652020548895546,2.195276070869656,22.924285714285713,2.3751270642701554
251,19.37997329059829,3.259197662615794,22.192857142857143,3.8670303605640086
252,19.00234557109557,2.8684142857378903,22.187142857142856,3.216502833232154
253,18.94280192030192,2.266209215680895,21.49285714285714,3.105064219871114
254,19.521960123210125,2.100479686374944,22.801428571428573,3.014622301225747
255,19.013520854145856,2.860368068092218,22.662857142857142,3.668186265198439
256,18.18408986846487,3.3665165053493773,21.32857142857143,3.830075841596476
257,18.75773858086358,3.691416427843265,21.632857142857144,4.098209829855447
258,19.13771284271284,3.046577427409929,21.75714285714286,3.27259690096267
259,18.60308288933289,3.0829850877754086,21.202857142857145,3.161490757462973
260,18.106689768564767,3.866525617851367,21.764285714285712,4.871005567446545
261,17.87984113109113,2.9152828274274016,21.23,3.360818352723039
262,16.450808404558405,2.7920534160424335,19.698333333333334,2.8894111280097654
263,16.7677997002997,2.8702726512008225,19.72142857142857,3.093958783238871
264,17.110858238983237,2.266990776861178,20.077142857142857,2.0435158778089155
265,16.444195734820735,1.6772605277642945,19.572857142857142,1.785699809465131
266,16.079746434121436,1.7323876833975989,18.8,2.362470458369093
267,15.777673437673439,1.852938998838001,18.481428571428573,2.320139568872445
268,16.0065265984016,2.14655076890242,18.12,2.033871513477027
269,14.989432442557442,2.5218304507295124,17.922857142857143,2.8425206788207897
270,15.103897977022978,3.0306531038986173,17.19857142857143,3.7780481229131553
271,15.18545607170607,2.923766517482017,17.59,3.3340165966393545
272,14.792872335997336,3.0521747535266766,17.874285714285715,3.785335111289607
273,14.955335636585636,3.1307286823472675,17.692857142857143,3.4075001310135176
274,15.088732517482516,1.8929081860214836,18.208571428571428,3.0288085037487846
275,15.503130133755134,2.5820801913511864,18.31714285714286,2.575853996158131
276,15.17104014041514,2.8864557664824355,17.931428571428572,3.6136197391324414
277,14.001000666000666,2.00770274073847,16.655714285714286,2.4045294559979724
278,13.960943847818848,1.752313816891203,16.4,2.725227819222949
279,13.717049825174826,2.336545006577007,16.60857142857143,2.9454452327360663
280,13.805563256188256,1.8551546707695927,16.52285714285714,2.283584275400657
281,14.703986568986569,1.658174892301846,17.035714285714285,1.8924838805377546
282,14.613865925740926,1.7226561154084186,16.97142857142857,2.380213075696015
283,14.856699897324898,1.9831544420872091,17.54,2.3361221429254644
284,14.022652722277723,2.207291553448409,16.77,2.120982476746725
285,13.844568903318903,2.734172452125216,16.312857142857144,2.750816329054064
286,13.58389545177045,3.313654199688894,15.819999999999999,4.002678270025375
287,13.626260218947719,3.4569116717525366,15.702857142857143,3.4056703416787832
288,12.769293262293262,2.415047461825665,14.9,2.266046483783302
289,12.501651313963814,2.9283302021822886,14.731428571428571,2.9675996392787924
290,13.056726190476189,2.2018145623975403,15.27,2.2240578529645614
291,13.489174575424576,2.226708274338954,15.51142857142857,2.5198507136430957
292,13.582297910422911,1.8213338320580577,15.285714285714286,1.635113218739069
293,13.987891275391275,2.4425495106996507,16.164285714285715,2.408546291457824
294,14.48911888111888,1.4134182459663813,16.2,1.0069094629939017
295,14.093633172383173,1.1982145673970974,16.18,1.394417441084269
296,13.510129814629815,1.92447310149087,16.024285714285714,2.266751398976497
297,13.01080472999223,2.16457260065897,15.022857142857143,2.0194200015987622
298,12.782946775446776,1.4768832923605293,15.124285714285715,1.2469276528446105
299,13.143855796980798,1.7979502772425295,15.52,2.1180100723713915
300,12.264617340992341,2.24603329062465,14.585714285714285,1.6132870910334707
301,12.675370115995117,2.15238094353137,14.661428571428571,2.488462902887567
302,12.31535608747045,1.84190603422672,14.052857142857144,1.8468596254698075
303,12.227798093110593,1.0903599736075076,13.68,1.5912008044241306
304,12.466822957135458,1.1539410774066765,14.108333333333334,1.7831255330645306
305,11.905830280830282,1.6234434605006731,13.491428571428571,1.7541325355801807
306,11.941691364191366,1.431142461760872,14.282857142857143,1.8292959874016592
307,11.088005439005439,2.1320301963597066,12.860000000000001,2.825485209068819
308,10.551440386002886,1.7787515935239553,13.370000000000001,2.3406266967061047
309,9.84780808080808,1.3268417868512468,11.602857142857143,1.1008741115694425
310,9.390993763181262,1.362120967253876,11.334285714285715,1.2747137867361595
311,9.718471264846263,1.6694667896506188,12.088571428571429,1.9701982012937052
312,9.366417915417916,1.8848732178708847,11.165714285714285,2.3401485504333346
313,9.560046321733822,2.274427468059038,11.298142857142858,2.3815794778935704
314,9.439626873126873,2.166347731750251,11.105714285714285,2.3018315688661004
315,9.183025314962816,1.5825922950378566,10.864285714285714,1.4071230358768338
316,9.30785137085137,0.9888987725094429,11.135714285714286,1.4698396413992139
317,9.697737498612499,2.0516998874469796,11.535714285714286,2.2537069991672025
318,10.237668467604198,2.9491900870897463,12.355166666666667,4.024662987961435
319,9.48950819088319,2.5630491773935207,11.246666666666668,2.0927366453203486
320,8.9350157990158,2.22526049525027,10.961666666666666,2.7209661274383166
321,8.817290147352647,2.845843968740085,10.832857142857142,3.5236081142569113
322,7.597750312187813,2.0499095743384874,9.924285714285714,2.3195894546439115
323,7.830588168775669,2.18540481583734,9.773714285714286,1.9866438797031303
