Datetime,Satellite,Mean (mg m-3),Min (mg m-3),Max (mg m-3),Pixel Coverage (%),URL
2016-11-11T10:20:00.000+00:00,S3A,2.87494,0,17.61246,15,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161111T102020_sui_geneva.tif
2016-11-12T09:54:00.000+00:00,S3A,2.95805,0.91634,11.04014,10,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161112T095409_sui_geneva.tif
2016-11-15T10:16:00.000+00:00,S3A,3.30604,1.80207,10.55879,6,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161115T101635_sui_geneva.tif
2016-11-19T10:12:00.000+00:00,S3A,1.22043,0,11.16644,2,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161119T101251_sui_geneva.tif
2016-11-20T09:46:00.000+00:00,S3A,3.99532,1.69394,11.97855,28,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161120T094640_sui_geneva.tif
2016-11-23T10:09:00.000+00:00,S3A,8.41609,8.41609,8.41609,1,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161123T100906_sui_geneva.tif
2016-11-30T10:27:00.000+00:00,S3A,4.12909,2.49765,8.50665,1,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161130T102748_sui_geneva.tif
2016-11-28T09:39:00.000+00:00,S3A,4.51371,0.06986,10.8465,8,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161128T093911_sui_geneva.tif
2016-11-27T10:05:00.000+00:00,S3A,3.47032,1.30401,9.86482,2,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161127T100522_sui_geneva.tif
2016-12-02T09:35:00.000+00:00,S3A,5.76754,2.13765,11.90896,9,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161202T093527_sui_geneva.tif
2016-12-01T10:01:00.000+00:00,S3A,2.99413,0,10.95991,10,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161201T100138_sui_geneva.tif
2016-12-04T10:24:00.000+00:00,S3A,5.40242,2.2637,10.63357,1,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161204T102404_sui_geneva.tif
2016-12-05T09:57:00.000+00:00,S3A,6.19314,2.15741,11.17881,1,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161205T095753_sui_geneva.tif
2016-12-06T09:31:00.000+00:00,S3A,8.78872,3.79474,14.26349,3,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161206T093142_sui_geneva.tif
2016-12-08T10:20:00.000+00:00,S3A,5.35189,2.18461,10.55946,2,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161208T102020_sui_geneva.tif
2016-12-09T09:54:00.000+00:00,S3A,6.17377,1.93009,9.47143,1,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161209T095409_sui_geneva.tif
2016-12-13T09:50:00.000+00:00,S3A,7.6697,2.68503,14.12203,2,https://eawagrs.s3.eu-central-1.amazonaws.com/alplakes/cropped/sentinel3/geneva/OC3_chla_S3A_20161213T095024_sui_geneva.tif
